"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"-- Please Select --","-- Vælg venligst --"
"Add Block Names to Hints","Tilføj bloknavne til hints"
"Add Secret Key to URLs","Tilføj nøgle til URLs"
"Add Store Code to Urls","Tilføj forretningskode til URLs"
"Admin","Admin"
"Admin Base URL","Admin rod-URL"
"Admin User Emails","Admin bruger-e-mails"
"Advanced","Avanceret"
"Allow countries","Tillad lande"
"Allowed IPs (comma separated)","Tilladte IP'er (kommasepareret)"
"Are you sure?","Er du sikker?"
"Back","Tilbage"
"Backup options","Backupmuligheder"
"Base JavaScript URL","Base JavaScript-URL"
"Base Link URL","Base link-URL"
"Base Media URL","Base medie-URL"
"Base Skin URL","Base skin-URL"
"Base URL","Rod URL"
"Before modifying the store view code please make sure that it is not used in index.php","Før du ændrer butiksvisningen så vær sikker på at koden ikke bliver brugt i index.php"
"Before modifying the website code please make sure that it is not used in index.php","Vær sikker på at website-koden ikke er brugt i index.php før du redigerer den"
"Block with name ""%s"" already exists","Blok med navnet ""%s"" eksisterer allerede"
"Blocks HTML output","Blok-HTML-output"
"Browser Capabilities Detection","Detektion af browseregenskaber"
"Can't retrieve request object","Kan ikke hente det efterspurgte objekt"
"Can't retrieve entity config: %s","Kan ikke hente enhedskonfiguration: %s"
"Cancel","Annuller"
"Cannot Delete Email Template","Kan ikke slette e-mailskabelon "
"Cannot complete this operation from non-admin area.","Kan ikke udføre denne handling fra et ikke-adminområde."
"Card type doesn\'t match credit card number","Korttype stemmer ikke overens med kreditkortnummeret"
"Category object is required for determining product request path","Et kategoriobjekt er nødvendigt for at bestemme produktstien"
"Code","Kode"
"Collections Data","Kollektionsdata"
"Configuration","Konfiguration"
"Controller file was loaded but class does not exist","Controller-filen blev indlæst, men klassen findes ikke"
"Cookie Domain","Cookie domæne"
"Cookie Lifetime","Cookie levetid"
"Cookie Path","Cookie sti"
"Copyright","Copyright"
"Countries options","Indstillinger for lande"
"Create Store","Opret forretning"
"Create Store View","Opret visning af forretning"
"Create Website","Opret website"
"Credit card number doesn\'t match credit card type","Kreditkortnummer stemmer ikke overens med kreditkorttype"
"Current package name","Navn på nuværende pakke"
"Custom Design","Eget design"
"Custom admin URL","Alternativ admin-URL"
"Custom email 1","Egen e-mail 1"
"Custom email 2","Egen e-mail 2"
"Customer support","Kundehjælp"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Dato/tidsformatet ""%s"" understøttes ikke."
"Debug","Debug"
"Default","Standard"
"Default Description","Standardbeskrivelse"
"Default Keywords","Standardnøgleord"
"Default Pages","Standardsider"
