"%s Item(s)","%s vare(r)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. Alle rettigheder forbeholdes."
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Klik på en tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af ovenstående knapper for hurtigere udvælgelse."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske"
"- or click and drag for faster selection.","- eller klik og træk for hurtigere udvælgelse."
"About the calendar","Om kalenderen"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">her</a> hvis der ikke sker noget"
"Close","Luk"
"Close Window","Luk vindue"
"DHTML Date/Time Selector","DHTML dato/tidsvælger"
"Date selection:","Datovalg:"
"Default Description","Standardbeskrivelse"
"Default welcome msg!","Velkommen til butikken!"
"Display %s first","Vis %s først"
"Distributed under GNU LGPL. See %s for details.","Udgivet under GNU LGPL. Se %s for detaljer."
"Drag to move","Træk for at flytte"
"For latest version visit: %s","For den seneste version, se: %s"
"Go Today","Prøv i dag"
"Help Us to Keep Magento Healthy","Hjælp os med at holde Magento fejlfri"
"Interface Language","Sprog"
"Items %s to %s of %s total","<strong>%s</strong> til <strong>%s</strong> af <strong>%s</strong>"
"Next Page","Næste side"
"Next month (hold for menu)","Næste måned (hold for menu)"
"Next year (hold for menu)","Næste år (hold for menu)"
"Page:","Side:"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Previous Page","Forrige side"
"Redirecting...","Omdirigerer..."
"Report All Bugs","Indrapporter alle fejl"
"Select Store","Vælg shop"
"Select date","Vælg dato"
"Show","Vis"
"Skip to Footer","Gå til footer"
"Skip to Left Column","Gå til venstre kolonne"
"Skip to Main Content","Gå til hovedindhold"
"Skip to Right Column","Gå til højre kolonne"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"Welcome, %s!","Velkommen, %s!"
"You're currently on:","Du er her:"
"Your Language","Dit sprog"
"Your Language:","Dit sprog:"
"per page","pr. side"
